"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 15 14:36:56 CST 2020","Thu Oct 15 14:36:58 CST 2020","2273","","test_01","TestSystem","","","test_06",""
"passed","Thu Oct 15 14:36:49 CST 2020","Thu Oct 15 14:36:51 CST 2020","2144","","test_01","TestSystem","","","test_03",""
"passed","Thu Oct 15 14:38:55 CST 2020","Thu Oct 15 14:38:58 CST 2020","2746","","test_10","TestReagent","","","test_5",""
"passed","Thu Oct 15 14:39:42 CST 2020","Thu Oct 15 14:39:45 CST 2020","2696","","test_10","TestReagent","","","test_15[data0]",""
"passed","Thu Oct 15 14:39:20 CST 2020","Thu Oct 15 14:39:21 CST 2020","634","","test_10","TestReagent","","","test_8",""
"passed","Thu Oct 15 14:37:14 CST 2020","Thu Oct 15 14:37:19 CST 2020","5261","","test_03","TestSystem","","","test_16[data0]",""
"passed","Thu Oct 15 14:40:36 CST 2020","Thu Oct 15 14:40:37 CST 2020","1060","","test_10","TestReagent","","","test_28",""
"passed","Thu Oct 15 14:40:29 CST 2020","Thu Oct 15 14:40:32 CST 2020","2388","","test_10","TestReagent","","","test_24",""
"passed","Thu Oct 15 14:38:05 CST 2020","Thu Oct 15 14:38:06 CST 2020","654","","test_05","TestSystem","","","test_22",""
"passed","Thu Oct 15 14:38:49 CST 2020","Thu Oct 15 14:38:53 CST 2020","3710","","test_10","TestReagent","","","test_2[data0]",""
"passed","Thu Oct 15 14:37:27 CST 2020","Thu Oct 15 14:37:29 CST 2020","2215","","test_03","TestSystem","","","test_20[data0]",""
"passed","Thu Oct 15 14:37:48 CST 2020","Thu Oct 15 14:37:52 CST 2020","3470","","test_04","TestSystem","","","test_27[data0]",""
"passed","Thu Oct 15 14:36:54 CST 2020","Thu Oct 15 14:36:56 CST 2020","2309","","test_01","TestSystem","","","test_05",""
"passed","Thu Oct 15 14:38:15 CST 2020","Thu Oct 15 14:38:17 CST 2020","1666","","test_07","TestSystem","","","test_28[data0]",""
"passed","Thu Oct 15 14:38:10 CST 2020","Thu Oct 15 14:38:12 CST 2020","1787","","test_06","TestSystem","","","test_25[data0]",""
"passed","Thu Oct 15 14:37:32 CST 2020","Thu Oct 15 14:37:38 CST 2020","5665","","test_04","TestSystem","","","test_22[data0]",""
"passed","Thu Oct 15 14:37:19 CST 2020","Thu Oct 15 14:37:22 CST 2020","3036","","test_03","TestSystem","","","test_17",""
"passed","Thu Oct 15 14:38:43 CST 2020","Thu Oct 15 14:38:49 CST 2020","6319","","test_10","TestReagent","","","test_1[data0]",""
"passed","Thu Oct 15 14:37:52 CST 2020","Thu Oct 15 14:37:55 CST 2020","3292","","test_04","TestSystem","","","test_28[data0]",""
"passed","Thu Oct 15 14:37:12 CST 2020","Thu Oct 15 14:37:14 CST 2020","2147","","test_02","TestSystem","","","test_15",""
"passed","Thu Oct 15 14:36:47 CST 2020","Thu Oct 15 14:36:49 CST 2020","2295","","test_01","TestSystem","","","test_02",""
"passed","Thu Oct 15 14:40:32 CST 2020","Thu Oct 15 14:40:34 CST 2020","2150","","test_10","TestReagent","","","test_25",""
"passed","Thu Oct 15 14:37:06 CST 2020","Thu Oct 15 14:37:07 CST 2020","1316","","test_02","TestSystem","","","test_11",""
"passed","Thu Oct 15 14:37:44 CST 2020","Thu Oct 15 14:37:48 CST 2020","4529","","test_04","TestSystem","","","test_26[data0]",""
"passed","Thu Oct 15 14:37:58 CST 2020","Thu Oct 15 14:38:01 CST 2020","3326","","test_05","TestSystem","","","test_19[data0]",""
"passed","Thu Oct 15 14:40:35 CST 2020","Thu Oct 15 14:40:36 CST 2020","1409","","test_10","TestReagent","","","test_27",""
"passed","Thu Oct 15 14:38:30 CST 2020","Thu Oct 15 14:38:43 CST 2020","12680","","test_08","TestSystem","","","test_31",""
"passed","Thu Oct 15 14:39:41 CST 2020","Thu Oct 15 14:39:42 CST 2020","1322","","test_10","TestReagent","","","test_14[data0]",""
"passed","Thu Oct 15 14:40:05 CST 2020","Thu Oct 15 14:40:10 CST 2020","5033","","test_10","TestReagent","","","test_19[data0]",""
"passed","Thu Oct 15 14:37:55 CST 2020","Thu Oct 15 14:37:58 CST 2020","2893","","test_04","TestSystem","","","test_29",""
"passed","Thu Oct 15 14:38:03 CST 2020","Thu Oct 15 14:38:05 CST 2020","2160","","test_05","TestSystem","","","test_21[data0]",""
"passed","Thu Oct 15 14:36:58 CST 2020","Thu Oct 15 14:37:00 CST 2020","2172","","test_02","TestSystem","","","test_07",""
"passed","Thu Oct 15 14:40:34 CST 2020","Thu Oct 15 14:40:35 CST 2020","730","","test_10","TestReagent","","","test_26",""
"passed","Thu Oct 15 14:37:00 CST 2020","Thu Oct 15 14:37:03 CST 2020","2829","","test_02","TestSystem","","","test_08[data0]",""
"passed","Thu Oct 15 14:37:22 CST 2020","Thu Oct 15 14:37:24 CST 2020","2320","","test_03","TestSystem","","","test_18[data0]",""
"passed","Thu Oct 15 14:38:12 CST 2020","Thu Oct 15 14:38:13 CST 2020","1060","","test_07","TestSystem","","","test_26[data0]",""
"passed","Thu Oct 15 14:39:16 CST 2020","Thu Oct 15 14:39:20 CST 2020","4453","","test_10","TestReagent","","","test_7[data0]",""
"passed","Thu Oct 15 14:37:24 CST 2020","Thu Oct 15 14:37:27 CST 2020","2837","","test_03","TestSystem","","","test_19",""
"passed","Thu Oct 15 14:38:17 CST 2020","Thu Oct 15 14:38:30 CST 2020","12597","","test_08","TestSystem","","","test_30",""
"passed","Thu Oct 15 14:39:24 CST 2020","Thu Oct 15 14:39:27 CST 2020","3037","","test_10","TestReagent","","","test_10",""
"passed","Thu Oct 15 14:37:03 CST 2020","Thu Oct 15 14:37:04 CST 2020","1233","","test_02","TestSystem","","","test_09",""
"passed","Thu Oct 15 14:39:53 CST 2020","Thu Oct 15 14:40:05 CST 2020","11551","","test_10","TestReagent","","","test_18[data0]",""
"passed","Thu Oct 15 14:40:10 CST 2020","Thu Oct 15 14:40:12 CST 2020","2828","","test_10","TestReagent","","","test_20",""
"passed","Thu Oct 15 14:39:27 CST 2020","Thu Oct 15 14:39:34 CST 2020","6404","","test_10","TestReagent","","","test_12",""
"passed","Thu Oct 15 14:37:41 CST 2020","Thu Oct 15 14:37:44 CST 2020","2672","","test_04","TestSystem","","","test_25",""
"passed","Thu Oct 15 14:37:10 CST 2020","Thu Oct 15 14:37:12 CST 2020","1620","","test_02","TestSystem","","","test_14[data0]",""
"passed","Thu Oct 15 14:40:19 CST 2020","Thu Oct 15 14:40:24 CST 2020","4117","","test_10","TestReagent","","","test_22",""
"passed","Thu Oct 15 14:39:21 CST 2020","Thu Oct 15 14:39:24 CST 2020","3401","","test_10","TestReagent","","","test_9",""
"passed","Thu Oct 15 14:39:34 CST 2020","Thu Oct 15 14:39:41 CST 2020","7417","","test_10","TestReagent","","","test_13[data0]",""
