"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 16 10:05:12 CST 2020","Fri Oct 16 10:05:15 CST 2020","3009","","test_04","TestSystem","","","test_23[data0]",""
"failed","Fri Oct 16 10:04:23 CST 2020","Fri Oct 16 10:04:43 CST 2020","20551","","test_03","TestSystem","","","test_13",""
"passed","Fri Oct 16 10:05:35 CST 2020","Fri Oct 16 10:05:37 CST 2020","1979","","test_05","TestSystem","","","test_32",""
"passed","Fri Oct 16 10:05:37 CST 2020","Fri Oct 16 10:05:39 CST 2020","1918","","test_05","TestSystem","","","test_33",""
"passed","Fri Oct 16 10:05:25 CST 2020","Fri Oct 16 10:05:29 CST 2020","3290","","test_04","TestSystem","","","test_27",""
"failed","Fri Oct 16 10:03:36 CST 2020","Fri Oct 16 10:03:37 CST 2020","1107","","test_02","TestSystem","","","test_08[data0]",""
"passed","Fri Oct 16 10:05:19 CST 2020","Fri Oct 16 10:05:22 CST 2020","3160","","test_04","TestSystem","","","test_25",""
"passed","Fri Oct 16 10:06:16 CST 2020","Fri Oct 16 10:06:22 CST 2020","5900","","test_08","TestSystem","","","test_46[data0]",""
"passed","Fri Oct 16 10:03:30 CST 2020","Fri Oct 16 10:03:34 CST 2020","4636","","test_02","TestSystem","","","test_06",""
"passed","Fri Oct 16 10:05:29 CST 2020","Fri Oct 16 10:05:30 CST 2020","1042","","test_04","TestSystem","","","test_29",""
"passed","Fri Oct 16 10:06:02 CST 2020","Fri Oct 16 10:06:05 CST 2020","2895","","test_07","TestSystem","","","test_41",""
"passed","Fri Oct 16 10:05:49 CST 2020","Fri Oct 16 10:05:52 CST 2020","3335","","test_07","TestSystem","","","test_37[data0]",""
"failed","Fri Oct 16 10:03:37 CST 2020","Fri Oct 16 10:03:39 CST 2020","1131","","test_02","TestSystem","","","test_09[data0]",""
"failed","Fri Oct 16 10:06:28 CST 2020","Fri Oct 16 10:06:29 CST 2020","784","","test_08","TestSystem","","","test_48",""
"passed","Fri Oct 16 10:06:12 CST 2020","Fri Oct 16 10:06:16 CST 2020","4550","","test_08","TestSystem","","","test_45[data0]",""
"passed","Fri Oct 16 10:03:19 CST 2020","Fri Oct 16 10:03:24 CST 2020","4614","","test_01","TestSystem","","","test_04",""
"passed","Fri Oct 16 10:05:03 CST 2020","Fri Oct 16 10:05:06 CST 2020","3060","","test_04","TestSystem","","","test_20[data0]",""
"skipped","Fri Oct 16 10:05:29 CST 2020","Fri Oct 16 10:05:29 CST 2020","0","","test_04","TestSystem","","","test_28[data0]",""
"passed","Fri Oct 16 10:05:09 CST 2020","Fri Oct 16 10:05:12 CST 2020","3373","","test_04","TestSystem","","","test_22[data0]",""
"passed","Fri Oct 16 10:05:41 CST 2020","Fri Oct 16 10:05:46 CST 2020","4997","","test_07","TestSystem","","","test_35",""
"passed","Fri Oct 16 10:05:33 CST 2020","Fri Oct 16 10:05:35 CST 2020","1935","","test_05","TestSystem","","","test_31",""
"passed","Fri Oct 16 10:04:51 CST 2020","Fri Oct 16 10:04:53 CST 2020","2281","","test_03","TestSystem","","","test_16[data0]",""
"passed","Fri Oct 16 10:04:59 CST 2020","Fri Oct 16 10:05:03 CST 2020","3270","","test_04","TestSystem","","","test_19[data0]",""
"passed","Fri Oct 16 10:05:06 CST 2020","Fri Oct 16 10:05:09 CST 2020","3063","","test_04","TestSystem","","","test_21[data0]",""
